date,atm_vol_1m
2010-01-04,13.685
2010-01-05,13.32
2010-01-06,12.9025
2010-01-07,13.1
2010-01-08,12.88
2010-01-11,12.675
2010-01-12,12.92
2010-01-13,12.7525
2010-01-14,11.9675
2010-01-15,12.16
2010-01-18,12.2025
2010-01-19,12.005
2010-01-20,11.72
2010-01-21,12.035
2010-01-22,12.8625
2010-01-25,12.77
2010-01-26,13.225
2010-01-27,13.14
2010-01-28,12.7875
2010-01-29,12.84
2010-02-01,12.555
2010-02-02,12.245
2010-02-03,11.9575
2010-02-04,12.85
2010-02-05,13.425
2010-02-08,12.8325
2010-02-09,12.48
2010-02-10,12.3225
2010-02-11,12.0475
2010-02-12,11.955
2010-02-15,11.6275
2010-02-16,11.4825
2010-02-17,11.655
2010-02-18,11.53
2010-02-19,11.5975
2010-02-22,11.325
2010-02-23,11.555
2010-02-24,11.41
2010-02-25,11.745
2010-02-26,11.4075
2010-03-01,11.4425
2010-03-02,11.4025
2010-03-03,11.395
2010-03-04,11.245
2010-03-05,11.245
2010-03-08,11.4775
2010-03-09,11.415
2010-03-10,11.09
2010-03-11,10.845
2010-03-12,10.745
2010-03-15,10.8075
2010-03-16,10.715
2010-03-17,10.3675
2010-03-18,9.925
2010-03-19,9.785
2010-03-22,10.555
2010-03-23,9.91
2010-03-24,10.8775
2010-03-25,11.1
2010-03-26,10.8125
2010-03-29,10.985
2010-03-30,10.945
2010-03-31,11.135
2010-04-01,11.2625
2010-04-02,11.12
2010-04-05,11.03
2010-04-06,11.105
2010-04-07,10.8875
2010-04-08,10.9825
2010-04-09,10.6925
2010-04-12,10.545
2010-04-13,10.655
2010-04-14,10.3875
2010-04-15,10.1
2010-04-16,10.235
2010-04-19,10.5675
2010-04-20,10.1575
2010-04-21,10.035
2010-04-22,10.0125
2010-04-23,10.185
2010-04-26,10.285
2010-04-27,10.72
2010-04-28,10.6675
2010-04-29,10.085
2010-04-30,10.15
2010-05-03,10.345
2010-05-04,10.61
2010-05-05,11.34
2010-05-06,14.05
2010-05-07,15.355
2010-05-10,13.64
2010-05-11,13.605
2010-05-12,12.59
2010-05-13,11.88
2010-05-14,12.53
2010-05-17,12.94
2010-05-18,12.65
2010-05-19,13.52
2010-05-20,16.775
2010-05-21,16.35
2010-05-24,14.49
2010-05-25,15.605
2010-05-26,14.195
2010-05-27,13.425
2010-05-28,13.15
2010-05-31,13.2925
2010-06-01,13.6
2010-06-02,13.47
2010-06-03,12.9475
2010-06-04,13.25
2010-06-07,13.555
2010-06-08,13.715
2010-06-09,13.0475
2010-06-10,12.7125
2010-06-11,11.935
2010-06-14,11.7325
2010-06-15,11.755
2010-06-16,11.61
2010-06-17,11.2975
2010-06-18,10.78
2010-06-21,10.935
2010-06-22,10.875
2010-06-23,11.0825
2010-06-24,11.58
2010-06-25,11.5175
2010-06-28,11.43
2010-06-29,12.27
2010-06-30,11.9375
2010-07-01,12.99
2010-07-02,12.285
2010-07-05,11.625
2010-07-06,11.3225
2010-07-07,11.3025
2010-07-08,10.785
2010-07-09,10.715
2010-07-12,10.635
2010-07-13,10.6775
2010-07-14,10.645
2010-07-15,11.11
2010-07-16,12.105
2010-07-19,12.17
2010-07-20,11.73
2010-07-21,11.56
2010-07-22,11.585
2010-07-23,10.95
2010-07-26,10.8625
2010-07-27,10.69
2010-07-28,10.65
2010-07-29,10.535
2010-07-30,10.825
2010-08-02,10.845
2010-08-03,11.155
2010-08-04,11.35
2010-08-05,11.235
2010-08-06,11.26
2010-08-09,11.235
2010-08-10,11.25
2010-08-11,11.5825
2010-08-12,11.43
2010-08-13,11.19
2010-08-16,11.425
2010-08-17,11.2
2010-08-18,10.905
2010-08-19,11.01
