date,spot_close
2010-01-01,93.04
2010-01-04,92.51
2010-01-05,91.72
2010-01-06,92.32
2010-01-07,93.37
2010-01-08,92.66
2010-01-11,92.09
2010-01-12,90.98
2010-01-13,91.37
2010-01-14,91.21
2010-01-15,90.77
2010-01-18,90.79
2010-01-19,91.15
2010-01-20,91.24
2010-01-21,90.43
2010-01-22,89.82
2010-01-25,90.28
2010-01-26,89.65
2010-01-27,90.01
2010-01-28,89.92
2010-01-29,90.27
2010-02-01,90.61
2010-02-02,90.38
2010-02-03,90.98
2010-02-04,89.06
2010-02-05,89.25
2010-02-08,89.26
2010-02-09,89.7
2010-02-10,89.94
2010-02-11,89.77
2010-02-12,89.96
2010-02-15,90.02
2010-02-16,90.14
2010-02-17,91.26
2010-02-18,91.81
2010-02-19,91.52
2010-02-22,91.14
2010-02-23,90.22
2010-02-24,90.15
2010-02-25,89.08
2010-02-26,88.97
2010-03-01,89.13
2010-03-02,88.85
2010-03-03,88.47
2010-03-04,89.02
2010-03-05,90.28
2010-03-08,90.31
2010-03-09,89.97
2010-03-10,90.52
2010-03-11,90.51
2010-03-12,90.56
2010-03-15,90.53
2010-03-16,90.31
2010-03-17,90.31
2010-03-18,90.39
2010-03-19,90.55
2010-03-22,90.14
2010-03-23,90.4
2010-03-24,92.3
2010-03-25,92.73
2010-03-26,92.52
2010-03-29,92.46
2010-03-30,92.77
2010-03-31,93.47
2010-04-01,93.82
2010-04-02,94.61
2010-04-05,94.37
2010-04-06,93.79
2010-04-07,93.36
2010-04-08,93.38
2010-04-09,93.18
2010-04-12,93.24
2010-04-13,93.2
2010-04-14,93.23
2010-04-15,93.03
2010-04-16,92.17
2010-04-19,92.4
2010-04-20,93.22
2010-04-21,93.19
2010-04-22,93.49
2010-04-23,93.97
2010-04-26,93.96
2010-04-27,93.27
2010-04-28,94.03
2010-04-29,94.03
2010-04-30,93.85
2010-05-03,94.54
2010-05-04,94.54
2010-05-05,93.81
2010-05-06,90.58
2010-05-07,91.59
2010-05-10,93.3
2010-05-11,92.65
2010-05-12,93.24
2010-05-13,92.75
2010-05-14,92.47
2010-05-17,92.59
2010-05-18,92.23
2010-05-19,91.71
2010-05-20,89.69
2010-05-21,90.0
2010-05-24,90.29
2010-05-25,90.23
2010-05-26,89.92
2010-05-27,91.04
2010-05-28,91.06
2010-05-31,91.27
2010-06-01,90.95
2010-06-02,92.13
2010-06-03,92.71
2010-06-04,91.9
2010-06-07,91.37
2010-06-08,91.46
2010-06-09,91.3
2010-06-10,91.34
2010-06-11,91.65
2010-06-14,91.58
2010-06-15,91.46
2010-06-16,91.44
2010-06-17,91.01
2010-06-18,90.71
2010-06-21,91.11
2010-06-22,90.57
2010-06-23,89.82
2010-06-24,89.61
2010-06-25,89.23
2010-06-28,89.37
2010-06-29,88.6
2010-06-30,88.43
2010-07-01,87.6
2010-07-02,87.75
2010-07-05,87.77
2010-07-06,87.52
2010-07-07,87.7
2010-07-08,88.36
2010-07-09,88.62
2010-07-12,88.62
2010-07-13,88.74
2010-07-14,88.41
2010-07-15,87.4
2010-07-16,86.57
2010-07-19,86.69
2010-07-20,87.51
2010-07-21,87.05
2010-07-22,86.95
2010-07-23,87.46
2010-07-26,86.88
2010-07-27,87.9
2010-07-28,87.47
2010-07-29,86.79
2010-07-30,86.47
2010-08-02,86.5
2010-08-03,85.79
2010-08-04,86.27
2010-08-05,85.82
2010-08-06,85.51
2010-08-09,85.94
2010-08-10,85.44
2010-08-11,85.32
2010-08-12,85.9
2010-08-13,86.2
2010-08-16,85.33
2010-08-17,85.53
2010-08-18,85.46
2010-08-19,85.39
2010-08-20,85.62
2010-08-23,85.16
2010-08-24,83.9
2010-08-25,84.58
2010-08-26,84.45
2010-08-27,85.23
2010-08-30,84.62
2010-08-31,84.2
2010-09-01,84.44
2010-09-02,84.28
2010-09-03,84.31
2010-09-06,84.21
2010-09-07,83.83
2010-09-08,83.88
2010-09-09,83.78
2010-09-10,84.15
2010-09-13,83.71
2010-09-14,83.04
2010-09-15,85.75
2010-09-16,85.78
2010-09-17,85.86
2010-09-20,85.69
2010-09-21,85.09
2010-09-22,84.5
2010-09-23,84.38
2010-09-24,84.21
2010-09-27,84.29
2010-09-28,83.87
2010-09-29,83.7
2010-09-30,83.53
2010-10-01,83.22
2010-10-04,83.36
2010-10-05,83.22
2010-10-06,82.93
2010-10-07,82.41
2010-10-08,81.93
2010-10-11,82.07
2010-10-12,81.72
2010-10-13,81.81
2010-10-14,81.48
2010-10-15,81.45
2010-10-18,81.27
2010-10-19,81.59
2010-10-20,81.09
2010-10-21,81.33
2010-10-22,81.38
2010-10-25,80.81
2010-10-26,81.43
2010-10-27,81.75
2010-10-28,81.03
2010-10-29,80.4
2010-11-01,80.51
2010-11-02,80.63
2010-11-03,81.07
2010-11-04,80.75
2010-11-05,81.26
2010-11-08,81.18
2010-11-09,81.69
2010-11-10,82.28
2010-11-11,82.49
2010-11-12,82.53
2010-11-15,83.07
2010-11-16,83.29
2010-11-17,83.18
2010-11-18,83.52
2010-11-19,83.55
2010-11-22,83.33
2010-11-23,83.16
2010-11-24,83.54
2010-11-25,83.6
2010-11-26,84.1
2010-11-29,84.26
2010-11-30,83.69
2010-12-01,84.19
2010-12-02,83.82
2010-12-03,82.53
2010-12-06,82.66
2010-12-07,83.49
2010-12-08,84.04
2010-12-09,83.76
2010-12-10,83.95
2010-12-13,83.39
2010-12-14,83.66
2010-12-15,84.24
2010-12-16,83.91
2010-12-17,83.98
2010-12-20,83.77
2010-12-21,83.75
2010-12-22,83.57
2010-12-23,82.91
2010-12-24,82.88
2010-12-27,82.81
2010-12-28,82.38
2010-12-29,81.62
2010-12-30,81.53
2010-12-31,81.12
2011-01-03,81.74
2011-01-04,82.04
2011-01-05,83.25
2011-01-06,83.33
2011-01-07,83.15
2011-01-10,82.71
2011-01-11,83.24
2011-01-12,83.0
2011-01-13,82.81
2011-01-14,82.87
2011-01-17,82.68
2011-01-18,82.56
2011-01-19,82.02
2011-01-20,83.01
2011-01-21,82.57
2011-01-24,82.53
2011-01-25,82.25
2011-01-26,82.17
2011-01-27,82.92
2011-01-28,82.12
2011-01-31,82.04
2011-02-01,81.35
2011-02-02,81.55
2011-02-03,81.63
2011-02-04,82.18
2011-02-07,82.33
2011-02-08,82.36
