subperiod,start,end,n,model,mse,qlike
First Half,2023-09-15,2024-09-02,252,AutoVolForecaster,4.94915512546593e-09,-9.247457118651731
First Half,2023-09-15,2024-09-02,252,EWMA (λ=0.94),5.033700493738855e-09,-9.179575955353322
First Half,2023-09-15,2024-09-02,252,Rolling Var 5d,5.44024967190196e-09,-7.610185436731842
First Half,2023-09-15,2024-09-02,252,Rolling Var 10d,5.3083659045756615e-09,-8.615213699452902
First Half,2023-09-15,2024-09-02,252,Rolling Var 21d,5.2148850046785654e-09,-8.970936747441861
First Half,2023-09-15,2024-09-02,252,Rolling Var 63d,5.166462402372535e-09,-9.167235144089297
First Half,2023-09-15,2024-09-02,252,RW Variance,8.68207658788533e-09,1211142870061.4219
First Half,2023-09-15,2024-09-02,252,Implied Vol 1M,4.604622903844796e-09,-9.419505796284383
Second Half,2024-09-03,2025-08-20,252,AutoVolForecaster,6.533872829574322e-09,-8.944779780430537
Second Half,2024-09-03,2025-08-20,252,EWMA (λ=0.94),6.587831643559955e-09,-8.934129271614896
Second Half,2024-09-03,2025-08-20,252,Rolling Var 5d,7.160663285078869e-09,-8.439665418723472
Second Half,2024-09-03,2025-08-20,252,Rolling Var 10d,6.853628719253938e-09,-8.780089264865527
Second Half,2024-09-03,2025-08-20,252,Rolling Var 21d,6.641798812527037e-09,-8.886999338516132
Second Half,2024-09-03,2025-08-20,252,Rolling Var 63d,6.6771740773224755e-09,-8.931517773926616
Second Half,2024-09-03,2025-08-20,252,RW Variance,1.2010699457844227e-08,21706495959352.23
Second Half,2024-09-03,2025-08-20,252,Implied Vol 1M,6.327165650423633e-09,-9.003368425272784
Pre-Spike,2023-09-15,2024-06-28,206,AutoVolForecaster,3.78832610891748e-09,-9.436117535117138
Pre-Spike,2023-09-15,2024-06-28,206,EWMA (λ=0.94),3.846838359565684e-09,-9.37087740262801
Pre-Spike,2023-09-15,2024-06-28,206,Rolling Var 5d,4.064977909855333e-09,-7.621795462131093
Pre-Spike,2023-09-15,2024-06-28,206,Rolling Var 10d,4.0512035810182685e-09,-8.765862666954598
Pre-Spike,2023-09-15,2024-06-28,206,Rolling Var 21d,3.9768829653984085e-09,-9.245946600116843
Pre-Spike,2023-09-15,2024-06-28,206,Rolling Var 63d,3.909838395740564e-09,-9.365103433190555
Pre-Spike,2023-09-15,2024-06-28,206,RW Variance,6.712536988061155e-09,1481592248802.5513
Pre-Spike,2023-09-15,2024-06-28,206,Implied Vol 1M,3.501913252524772e-09,-9.598524269948227
Spike (Jul-Aug 2024),2024-07-01,2024-08-27,42,AutoVolForecaster,1.0987390147598138e-08,-8.322856063576126
Spike (Jul-Aug 2024),2024-07-01,2024-08-27,42,EWMA (λ=0.94),1.1141592630368612e-08,-8.243755923621766
Spike (Jul-Aug 2024),2024-07-01,2024-08-27,42,Rolling Var 5d,1.2635465518304005e-08,-7.387596125563876
Spike (Jul-Aug 2024),2024-07-01,2024-08-27,42,Rolling Var 10d,1.1856876320416065e-08,-7.8162958959817885
Spike (Jul-Aug 2024),2024-07-01,2024-08-27,42,Rolling Var 21d,1.1463266144621527e-08,-7.6157267872697805
Spike (Jul-Aug 2024),2024-07-01,2024-08-27,42,Rolling Var 63d,1.1734744827179911e-08,-8.183548299417435
Spike (Jul-Aug 2024),2024-07-01,2024-08-27,42,RW Variance,1.9099990189076798e-08,51.83783622492814
Spike (Jul-Aug 2024),2024-07-01,2024-08-27,42,Implied Vol 1M,1.031811029225581e-08,-8.559813746040671
Post-Spike,2024-08-28,2025-08-20,256,AutoVolForecaster,6.4525682813828946e-09,-8.94938879556408
Post-Spike,2024-08-28,2025-08-20,256,EWMA (λ=0.94),6.5165254142706546e-09,-8.937559466650418
Post-Spike,2024-08-28,2025-08-20,256,Rolling Var 5d,7.059980718594539e-09,-8.453880910554886
Post-Spike,2024-08-28,2025-08-20,256,Rolling Var 10d,6.766741804913365e-09,-8.787360195251416
Post-Spike,2024-08-28,2025-08-20,256,Rolling Var 21d,6.5905830194907645e-09,-8.889353003796927
Post-Spike,2024-08-28,2025-08-20,256,Rolling Var 63d,6.587150002418087e-09,-8.937364841903214
Post-Spike,2024-08-28,2025-08-20,256,RW Variance,1.1834364672039162e-08,21367331959987.258
Post-Spike,2024-08-28,2025-08-20,256,Implied Vol 1M,6.25021856789374e-09,-9.006859870661573
