date,return,realized_var,forecast_var_autovol,forecast_var_ewma,forecast_var_rv21,forecast_var_rv63,forecast_vol_ann,forecast_var_implied,weight_EWMA (RiskMetrics),"weight_Component GARCH(1,1)"
2023-09-15,0.0025734810356366,6.622804640781226e-06,2.4465566787361728e-05,2.4462378561056672e-05,2.0488137131468867e-05,2.8173458547271276e-05,7.851956972892271,3.2752867063492064e-05,0.5,0.5
2023-09-18,-0.0016245857495806,2.6392788577403603e-06,2.2988177956960695e-05,2.299491176114109e-05,1.9623693654753847e-05,2.8228982727296747e-05,7.611189687003009,3.2572857142857145e-05,0.5514498793246229,0.44855012067537714
2023-09-19,0.0016922195800486,2.8636071070998606e-06,2.1802036591414722e-05,2.20125853339195e-05,1.9103902670693438e-05,2.802788943758581e-05,7.412228558966937,2.979453373015872e-05,0.5855192940086003,0.41448070599139974
2023-09-20,0.0032410561794578,1.0504445158401592e-05,2.059368908349088e-05,2.085018694534875e-05,1.851430012144859e-05,2.796635224725753e-05,7.203894536318326,3.0104801587301586e-05,0.6151481071135385,0.3848518928864615
2023-09-21,-0.0050687771147275,2.569250143878524e-05,1.9811208008186695e-05,1.9770992155053815e-05,1.7677050977843315e-05,2.7067836609263146e-05,7.065709035944693,3.260881944444443e-05,0.629214385799931,0.370785614200069
2023-09-22,0.0052709947690178,2.7783385855013012e-05,1.9922053977175377e-05,1.9214999335254684e-05,1.876364537708822e-05,2.734515370644659e-05,7.08544818783413,2.5333373015873014e-05,0.6235738769648249,0.3764261230351751
2023-09-25,0.003431458371293,1.1774906553916807e-05,2.0551192320392112e-05,1.9603649461466518e-05,1.6734267332174616e-05,2.7655300533873966e-05,7.1964577847291045,2.4828611111111114e-05,0.619870631967885,0.38012936803211494
2023-09-26,0.0012753819483435,1.6265991141604621e-06,2.0574248135458988e-05,2.009443364507931e-05,1.5473073003578008e-05,2.760976688900139e-05,7.200493406799055,2.7966676587301582e-05,0.6251025489759701,0.37489745102402994
2023-09-27,0.003749585912989,1.4059394518885553e-05,1.9662765766334148e-05,1.959526201960956e-05,1.4985586601217441e-05,2.7533517641335126e-05,7.039188144321905,3.115063492063492e-05,0.6473224928868972,0.35267750711310275
2023-09-28,-0.0021408986567555,4.583447058497503e-06,1.9051560150628523e-05,1.8517142245282612e-05,1.5358446203270405e-05,2.7666128665513976e-05,6.928919943222313,3.358730158730159e-05,0.655931199310401,0.34406880068959905
2023-09-29,0.0004017677836285,1.614173519617572e-07,1.843657589550757e-05,1.824967738169879e-05,1.4424299081241267e-05,2.757034077543576e-05,6.8161698377225814,3.0104801587301586e-05,0.6711811669538579,0.3288188330461422
2023-10-02,0.0032750756139636,1.0726120277179052e-05,1.7390767283841458e-05,1.742970356230671e-05,1.4344825340679269e-05,2.750517847553251e-05,6.620025192949078,3.228587301587301e-05,0.6958182013787422,0.3041817986212578
2023-10-03,-0.0056209998105832,3.1595638870576374e-05,1.6800221844285108e-05,1.6393606389686013e-05,1.2944765032822668e-05,2.7560708260466684e-05,6.506654981447724,3.818892857142858e-05,0.706254968387502,0.293745031612498
2023-10-04,0.0006708258116995,4.500072696422931e-07,1.7443143680725875e-05,1.6053557222935596e-05,1.4417662371931808e-05,2.813969909172258e-05,6.629986581843829,3.510080357142856e-05,0.6894510966513359,0.3105489033486642
2023-10-05,-0.0040990548944273,1.6802251027528404e-05,1.71815575058384e-05,1.698608212179404e-05,1.4384562700959807e-05,2.7811244884916065e-05,6.580085479286176,3.369691468253968e-05,0.7002569671361073,0.2997430328638927
2023-10-06,0.0054393580035293,2.9586615490558254e-05,1.6881897337477235e-05,1.5993917630664936e-05,1.2471286881724226e-05,2.5266448148423927e-05,6.522452091847255,3.104524801587301e-05,0.7018812163961372,0.29811878360386285
2023-10-09,-0.0054393580035293,2.9586615490558254e-05,1.7572601355680144e-05,1.6042417634476745e-05,1.3609191392508138e-05,2.481551144980355e-05,6.654543967569376,3.260881944444443e-05,0.6876929217754056,0.31230707822459447
2023-10-10,0.0013458046577383,1.8111901767901027e-06,1.8517705494570562e-05,1.6855069505841634e-05,1.4803130979269054e-05,2.4531255239375133e-05,6.8311505506991885,3.1964533730158723e-05,0.6774495395358109,0.3225504604641891
2023-10-11,0.0030884944652466,9.538798061858883e-06,1.8155941894785984e-05,1.7618962264924633e-05,1.4364600230298094e-05,2.1321510038019226e-05,6.764094438641485,3.0070248015873018e-05,0.6933387460833351,0.3066612539166649
2023-10-12,0.0042812293634515,1.8328924862479334e-05,1.743879435410152e-05,1.6670495939636558e-05,1.1016880500236811e-05,2.1074955953794892e-05,6.629159959778903,2.89411111111111e-05,0.7076466502574604,0.2923533497425396
2023-10-13,-0.0016033138580554,2.5706153274324914e-06,1.7396848820547762e-05,1.6242594066969897e-05,1.1273916125770514e-05,2.0945349023799395e-05,6.621182600395518,2.873813492063491e-05,0.7073854889526486,0.2926145110473515
2023-10-16,-0.0004012304453987,1.6098587031483917e-07,1.681307676832996e-05,1.6367773914700463e-05,1.1369906777168358e-05,2.1014302190630774e-05,6.509143834344997,2.6325803571428568e-05,0.7248124722034279,0.27518752779657213
2023-10-17,0.0020045443034542,4.0181978645106844e-06,1.5760029574411437e-05,1.5539944399464384e-05,1.140409775821356e-05,2.1051337884613327e-05,6.302005595643092,2.3988343253968257e-05,0.7499043391283499,0.2500956608716502
2023-10-18,0.0008006939775213,6.4111084563888e-07,1.4941015107738851e-05,1.461720688771541e-05,1.1317336711794103e-05,2.0709109864877393e-05,6.136070246623804,2.3988343253968257e-05,0.768439674888218,0.23156032511178198
