proxy,proxy_window,model,mse,qlike
r²_t (daily),1,AutoVolForecaster,5.741513977520127e-09,-9.096118449541134
r²_t (daily),1,EWMA (λ=0.94),5.810766068649405e-09,-9.05685261348411
r²_t (daily),1,Rolling Var 21d,5.928341908602801e-09,-8.928968042978997
r²_t (daily),1,Rolling Var 63d,5.921818239847505e-09,-9.049376459007956
r²_t (daily),1,Implied Vol 1M,5.465894277134216e-09,-9.211437110778581
RV_5d (rolling mean r²),5,AutoVolForecaster,1.0017186248943505e-09,-9.251698788913101
RV_5d (rolling mean r²),5,EWMA (λ=0.94),1.1508095962063468e-09,-9.206027250702968
RV_5d (rolling mean r²),5,Rolling Var 21d,1.2387203213524186e-09,-9.189357203794854
RV_5d (rolling mean r²),5,Rolling Var 63d,1.4968704254212191e-09,-9.118234186076865
RV_5d (rolling mean r²),5,Implied Vol 1M,1.1829235138672933e-09,-9.195720251152505
RV_10d (rolling mean r²),10,AutoVolForecaster,3.24348032002001e-10,-9.266536349708486
RV_10d (rolling mean r²),10,EWMA (λ=0.94),4.1016279566153723e-10,-9.24061839817629
RV_10d (rolling mean r²),10,Rolling Var 21d,5.032880832891976e-10,-9.221693138369382
RV_10d (rolling mean r²),10,Rolling Var 63d,8.329002124707186e-10,-9.12846941117895
RV_10d (rolling mean r²),10,Implied Vol 1M,6.250028656398776e-10,-9.170300173756553
RV_21d (rolling mean r²),21,AutoVolForecaster,1.2204032054182636e-10,-9.212652290763822
RV_21d (rolling mean r²),21,EWMA (λ=0.94),9.491123913773915e-11,-9.215876529308256
RV_21d (rolling mean r²),21,Rolling Var 21d,5.7352137279840837e-11,-9.22726424988567
RV_21d (rolling mean r²),21,Rolling Var 63d,3.888449075381163e-10,-9.136682628932768
RV_21d (rolling mean r²),21,Implied Vol 1M,2.6760057710875637e-10,-9.158930575970878
